subj,trial,rt,object_response,category,imagename,age,block,difficulty
1,1,1.2168,keyboard,keyboard,1111_cc_hum_0_keyboard_40_n03085013_19436.JPEG,7.0,1.0,0
1,2,0.6505,dog,dog,1111_cc_hum_0_dog_40_n02101388_2075.JPEG,7.0,1.0,0
1,3,0.6669,cat,cat,1111_cc_hum_0_cat_40_n02123045_8774.JPEG,7.0,1.0,0
1,4,0.7674,boat,boat,1111_cc_hum_0_boat_40_n04612504_30742.JPEG,7.0,1.0,0
1,5,19.4146,chair,knife,1111_cc_hum_1_knife10-chair1.png,7.0,1.0,1
1,6,1.3837,truck,truck,1111_cc_hum_1_truck5-car1.png,7.0,1.0,1
1,7,0.7337,bear,bear,1111_cc_hum_1_bear8-bottle1.png,7.0,1.0,1
1,8,2.7334,elephant,elephant,1111_cc_hum_1_elephant8-dog1.png,7.0,1.0,1
1,9,10.0492,dog,cat,1111_cc_hum_1_cat5-elephant2.png,7.0,1.0,1
1,10,0.8336,car,car,1111_cc_hum_1_car10-bicycle2.png,7.0,1.0,1
1,11,1.0174,airplane,airplane,1111_cc_hum_1_airplane1-clock1.png,7.0,1.0,1
1,12,0.9173,bear,bear,1111_cc_hum_1_bear8-elephant2.png,7.0,1.0,1
1,13,7.2663,bear,boat,1111_cc_hum_1_boat7-cat3.png,7.0,1.0,1
1,14,1.4505,car,knife,1111_cc_hum_1_knife7-car2.png,7.0,1.0,1
1,15,1.2838,keyboard,keyboard,1111_cc_hum_1_keyboard6-bicycle1.png,7.0,1.0,1
1,16,0.7669,car,car,1111_cc_hum_0_car_40_n03100240_6805.JPEG,7.0,1.0,0
1,17,1.084,car,cat,1111_cc_hum_1_cat5-airplane2.png,7.0,1.0,1
1,18,1.2005,boat,boat,1111_cc_hum_0_boat_40_n02951358_2853.JPEG,7.0,1.0,0
1,19,0.7839,clock,clock,1111_cc_hum_0_clock_40_n04548280_2518.JPEG,7.0,1.0,0
1,20,1.8001,oven,oven,1111_cc_hum_0_oven_40_n04111531_23215.JPEG,7.0,1.0,0
1,21,1.1008,bear,bear,1111_cc_hum_0_bear_40_n02134084_5027.JPEG,7.0,2.0,0
1,22,1.1006,chair,chair,1111_cc_hum_0_chair_40_n03376595_2566.JPEG,7.0,2.0,0
1,23,0.6335,chair,chair,1111_cc_hum_0_chair_40_n03376595_4469.JPEG,7.0,2.0,0
1,24,3.9,bear,airplane,1111_cc_hum_1_airplane2-dog1.png,7.0,2.0,1
1,25,0.7337,clock,clock,1111_cc_hum_1_clock7-cat2.png,7.0,2.0,1
1,26,1.9834,oven,knife,1111_cc_hum_1_knife8-bicycle1.png,7.0,2.0,1
1,27,1.1836,dog,dog,1111_cc_hum_1_dog1-bear1.png,7.0,2.0,1
1,28,16.8984,bottle,bottle,1111_cc_hum_0_bottle_40_n04560804_12278.JPEG,7.0,2.0,0
1,29,0.9668,car,car,1111_cc_hum_0_car_40_n04285008_3280.JPEG,7.0,2.0,0
1,30,1.5499,bird,bird,1111_cc_hum_1_bird9-dog2.png,7.0,2.0,1
1,31,3.4499,bear,airplane,1111_cc_hum_1_airplane2-bear1.png,7.0,2.0,1
1,32,0.9339,bicycle,bicycle,1111_cc_hum_1_bicycle3-bird1.png,7.0,2.0,1
1,33,0.6838,bicycle,bicycle,1111_cc_hum_1_bicycle4-oven3.png,7.0,2.0,1
1,34,8.3494,knife,airplane,1111_cc_hum_1_airplane4-elephant1.png,7.0,2.0,1
1,35,0.9999,car,car,1111_cc_hum_1_car5-truck3.png,7.0,2.0,1
1,36,0.8505,dog,dog,1111_cc_hum_1_dog6-clock1.png,7.0,2.0,1
1,37,1.2337,car,car,1111_cc_hum_1_car8-chair1.png,7.0,2.0,1
1,38,1.4669,truck,truck,1111_cc_hum_0_truck_40_n03417042_12133.JPEG,7.0,2.0,0
1,39,2.668,oven,knife,1111_cc_hum_0_knife_40_n03041632_24114.JPEG,7.0,2.0,0
1,40,1.0504,elephant,elephant,1111_cc_hum_0_elephant_40_n02504013_1916.JPEG,7.0,2.0,0
1,41,0.4672,cat,cat,1111_cc_hum_0_cat_40_n02124075_9716.JPEG,7.0,3.0,0
1,42,0.5334,bicycle,bicycle,1111_cc_hum_0_bicycle_40_n03792782_52601.JPEG,7.0,3.0,0
1,43,0.4838,dog,dog,1111_cc_hum_0_dog_40_n02088632_2814.JPEG,7.0,3.0,0
1,44,0.9005,car,car,1111_cc_hum_1_car4-boat1.png,7.0,3.0,1
1,45,0.6338,elephant,elephant,1111_cc_hum_1_elephant2-bird1.png,7.0,3.0,1
1,46,0.6173,chair,chair,1111_cc_hum_1_chair7-truck3.png,7.0,3.0,1
1,47,0.5169,bicycle,bicycle,1111_cc_hum_1_bicycle1-clock3.png,7.0,3.0,1
1,48,1.0668,truck,truck,1111_cc_hum_0_truck_40_n03796401_4309.JPEG,7.0,3.0,0
1,49,0.7004,elephant,elephant,1111_cc_hum_1_elephant5-bottle2.png,7.0,3.0,1
1,50,0.6671,cat,cat,1111_cc_hum_1_cat1-airplane1.png,7.0,3.0,1
1,51,0.8171,bird,bird,1111_cc_hum_1_bird1-oven1.png,7.0,3.0,1
1,52,0.6501,chair,chair,1111_cc_hum_1_chair9-boat2.png,7.0,3.0,1
1,53,1.0003,keyboard,keyboard,1111_cc_hum_0_keyboard_40_n04505470_933.JPEG,7.0,3.0,0
1,54,0.9004,car,car,1111_cc_hum_1_car10-keyboard2.png,7.0,3.0,1
