subj,trial,rt,object_response,category,imagename,age,block,difficulty
202,1,0.8172,oven,oven,1111_cc_hum_0_oven_40_n04111531_23215.JPEG,31.0,1,0
202,2,0.9338,boat,boat,1111_cc_hum_0_boat_40_n04612504_30742.JPEG,31.0,1,0
202,3,0.7338,keyboard,keyboard,1111_cc_hum_0_keyboard_40_n03085013_19436.JPEG,31.0,1,0
202,4,1.8006,elephant,cat,1111_cc_hum_1_cat5-elephant2.png,31.0,1,1
202,5,0.7337,car,car,1111_cc_hum_1_car10-bicycle2.png,31.0,1,1
202,6,1.067,clock,clock,1111_cc_hum_0_clock_40_n04548280_2518.JPEG,31.0,1,0
202,7,3.4335,chair,knife,1111_cc_hum_1_knife10-chair1.png,31.0,1,1
202,8,6.082999999999998,knife,boat,1111_cc_hum_1_boat7-cat3.png,31.0,1,1
202,9,0.9174,elephant,elephant,1111_cc_hum_1_elephant8-dog1.png,31.0,1,1
202,10,3.2336,car,knife,1111_cc_hum_1_knife7-car2.png,31.0,1,1
202,11,2.9503,bicycle,cat,1111_cc_hum_1_cat5-airplane2.png,31.0,1,1
202,12,0.9665,car,car,1111_cc_hum_0_car_40_n03100240_6805.JPEG,31.0,1,0
202,13,0.8506,airplane,airplane,1111_cc_hum_1_airplane1-clock1.png,31.0,1,1
202,14,0.9337,bear,bear,1111_cc_hum_1_bear8-bottle1.png,31.0,1,1
202,15,1.0669,truck,truck,1111_cc_hum_1_truck5-car1.png,31.0,1,1
202,16,0.9004,bear,bear,1111_cc_hum_1_bear8-elephant2.png,31.0,1,1
202,17,0.8002,keyboard,keyboard,1111_cc_hum_1_keyboard6-bicycle1.png,31.0,1,1
202,18,0.8007,boat,boat,1111_cc_hum_0_boat_40_n02951358_2853.JPEG,31.0,1,0
202,19,0.8002,cat,cat,1111_cc_hum_0_cat_40_n02123045_8774.JPEG,31.0,1,0
202,20,0.6337,dog,dog,1111_cc_hum_0_dog_40_n02101388_2075.JPEG,31.0,1,0
202,21,0.5336,bear,bear,1111_cc_hum_0_bear_40_n02134084_5027.JPEG,31.0,2,0
202,22,0.4668,elephant,elephant,1111_cc_hum_0_elephant_40_n02504013_1916.JPEG,31.0,2,0
202,23,0.5336,chair,chair,1111_cc_hum_0_chair_40_n03376595_2566.JPEG,31.0,2,0
202,24,2.1661,cat,airplane,1111_cc_hum_1_airplane2-dog1.png,31.0,2,1
202,25,0.7331,clock,clock,1111_cc_hum_1_clock7-cat2.png,31.0,2,1
202,26,0.8506,car,car,1111_cc_hum_0_car_40_n04285008_3280.JPEG,31.0,2,0
202,27,0.7173,bicycle,bicycle,1111_cc_hum_1_bicycle3-bird1.png,31.0,2,1
202,28,1.1174,knife,knife,1111_cc_hum_0_knife_40_n03041632_24114.JPEG,31.0,2,0
202,29,0.8337,car,car,1111_cc_hum_1_car8-chair1.png,31.0,2,1
202,30,0.5008,bird,bird,1111_cc_hum_1_bird9-dog2.png,31.0,2,1
202,31,8.7829,knife,airplane,1111_cc_hum_1_airplane2-bear1.png,31.0,2,1
202,32,1.0338,keyboard,knife,1111_cc_hum_1_knife8-bicycle1.png,31.0,2,1
202,33,0.7838,dog,dog,1111_cc_hum_1_dog6-clock1.png,31.0,2,1
202,34,0.8005,car,car,1111_cc_hum_1_car5-truck3.png,31.0,2,1
202,35,0.5838,bicycle,bicycle,1111_cc_hum_1_bicycle4-oven3.png,31.0,2,1
202,36,0.8838,dog,dog,1111_cc_hum_1_dog1-bear1.png,31.0,2,1
202,37,1.5997,bird,airplane,1111_cc_hum_1_airplane4-elephant1.png,31.0,2,1
202,38,0.8005,truck,truck,1111_cc_hum_0_truck_40_n03417042_12133.JPEG,31.0,2,0
202,39,0.5836,chair,chair,1111_cc_hum_0_chair_40_n03376595_4469.JPEG,31.0,2,0
202,40,1.1174,bottle,bottle,1111_cc_hum_0_bottle_40_n04560804_12278.JPEG,31.0,2,0
202,41,0.8666,oven,oven,1111_cc_hum_0_oven_40_n04111531_1054.JPEG,31.0,3,0
202,42,0.6836,bicycle,bicycle,1111_cc_hum_0_bicycle_40_n03792782_52601.JPEG,31.0,3,0
202,43,0.6008,knife,knife,1111_cc_hum_0_knife_40_n03041632_24277.JPEG,31.0,3,0
202,44,0.5004,chair,chair,1111_cc_hum_1_chair7-truck3.png,31.0,3,1
202,45,0.3670000000000001,bicycle,bicycle,1111_cc_hum_1_bicycle1-clock3.png,31.0,3,1
202,46,0.485,clock,clock,1111_cc_hum_1_clock9-cat1.png,31.0,3,1
202,47,0.3676,chair,chair,1111_cc_hum_1_chair9-boat2.png,31.0,3,1
202,48,0.5506,car,car,1111_cc_hum_1_car10-keyboard2.png,31.0,3,1
202,49,0.4342,bottle,bottle,1111_cc_hum_1_bottle9-truck1.png,31.0,3,1
202,50,0.7834,truck,truck,1111_cc_hum_1_truck2-boat3.png,31.0,3,1
202,51,0.5838,cat,cat,1111_cc_hum_1_cat1-airplane1.png,31.0,3,1
202,52,0.5338,elephant,elephant,1111_cc_hum_1_elephant5-bottle2.png,31.0,3,1
202,53,0.7672,car,car,1111_cc_hum_1_car4-boat1.png,31.0,3,1
202,54,0.6836,truck,truck,1111_cc_hum_0_truck_40_n03796401_4309.JPEG,31.0,3,0
202,55,0.5506,elephant,elephant,1111_cc_hum_1_elephant2-bird1.png,31.0,3,1
202,56,0.5839,bear,bear,1111_cc_hum_0_bear_40_n02134084_2004.JPEG,31.0,3,0
202,57,0.6665,bird,bird,1111_cc_hum_1_bird1-oven1.png,31.0,3,1
202,58,0.5005,keyboard,keyboard,1111_cc_hum_0_keyboard_40_n04505470_933.JPEG,31.0,3,0
202,59,0.6336,cat,cat,1111_cc_hum_0_cat_40_n02124075_9716.JPEG,31.0,3,0
202,60,0.5005,dog,dog,1111_cc_hum_0_dog_40_n02088632_2814.JPEG,31.0,3,0
202,61,0.4837,bottle,bottle,1111_cc_hum_0_bottle_40_n04591713_2718.JPEG,31.0,4,0
202,62,0.4839,elephant,elephant,1111_cc_hum_0_elephant_40_n02504458_4954.JPEG,31.0,4,0
202,63,0.4669,bird,bird,1111_cc_hum_0_bird_40_n02037110_11551.JPEG,31.0,4,0
202,64,0.6338,clock,clock,1111_cc_hum_1_clock4-airplane1.png,31.0,4,1
202,65,0.4006,airplane,airplane,1111_cc_hum_0_airplane_40_n02690373_6999.JPEG,31.0,4,0
202,66,0.7838,truck,truck,1111_cc_hum_1_truck1-knife1.png,31.0,4,1
202,67,0.4005,elephant,elephant,1111_cc_hum_1_elephant10-knife3.png,31.0,4,1
202,68,0.4503,chair,chair,1111_cc_hum_1_chair4-oven2.png,31.0,4,1
202,69,0.5336,dog,dog,1111_cc_hum_1_dog5-bear3.png,31.0,4,1
202,70,1.7836,bottle,boat,1111_cc_hum_1_boat7-keyboard3.png,31.0,4,1
202,71,0.7170000000000001,boat,boat,1111_cc_hum_1_boat6-car1.png,31.0,4,1
202,72,0.7003,clock,clock,1111_cc_hum_1_clock2-knife1.png,31.0,4,1
202,73,0.6504,truck,truck,1111_cc_hum_1_truck2-bottle3.png,31.0,4,1
202,74,1.9668,cat,bear,1111_cc_hum_1_bear9-keyboard3.png,31.0,4,1
202,75,0.6669,chair,chair,1111_cc_hum_1_chair10-bird3.png,31.0,4,1
202,76,0.6002,clock,clock,1111_cc_hum_1_clock6-chair3.png,31.0,4,1
202,77,0.7169,bicycle,bicycle,1111_cc_hum_0_bicycle_40_n03792782_14216.JPEG,31.0,4,0
202,78,0.4337,airplane,airplane,1111_cc_hum_0_airplane_40_n02690373_6853.JPEG,31.0,4,0
202,79,0.8006,clock,clock,1111_cc_hum_0_clock_40_n03196217_585.JPEG,31.0,4,0
202,80,0.4,bird,bird,1111_cc_hum_0_bird_40_n01530575_4260.JPEG,31.0,4,0
202,81,0.5006,bear,bear,1111_cc_hum_0_bear_40_n02133161_2137.JPEG,31.0,5,0
202,82,2.8832,knife,knife,1111_cc_hum_0_knife_40_n03041632_14224.JPEG,31.0,5,0
202,83,0.5505,elephant,elephant,1111_cc_hum_0_elephant_40_n02504458_1848.JPEG,31.0,5,0
202,84,1.2004,oven,oven,1111_cc_hum_1_oven1-boat3.png,31.0,5,1
202,85,0.6006,elephant,elephant,1111_cc_hum_1_elephant8-clock2.png,31.0,5,1
202,86,0.6008,cat,cat,1111_cc_hum_0_cat_40_n02123045_964.JPEG,31.0,5,0
202,87,0.8009999999999999,cat,cat,1111_cc_hum_1_cat10-bird2.png,31.0,5,1
202,88,0.7174,boat,boat,1111_cc_hum_0_boat_40_n02951358_4826.JPEG,31.0,5,0
202,89,0.9508,keyboard,keyboard,1111_cc_hum_1_keyboard3-bicycle2.png,31.0,5,1
202,90,3.0003,boat,boat,1111_cc_hum_1_boat3-car3.png,31.0,5,1
202,91,17.3318,airplane,knife,1111_cc_hum_1_knife1-dog1.png,31.0,5,1
202,92,1.5335,bear,bear,1111_cc_hum_1_bear10-clock1.png,31.0,5,1
202,93,0.7165,truck,truck,1111_cc_hum_1_truck2-chair1.png,31.0,5,1
202,94,0.8169,elephant,elephant,1111_cc_hum_1_elephant4-clock3.png,31.0,5,1
202,95,2.2004,car,airplane,1111_cc_hum_1_airplane6-chair3.png,31.0,5,1
202,96,1.1005,bear,bear,1111_cc_hum_1_bear10-knife2.png,31.0,5,1
202,97,0.6836,cat,cat,1111_cc_hum_1_cat5-knife2.png,31.0,5,1
202,98,0.6841,dog,dog,1111_cc_hum_0_dog_40_n02102318_11816.JPEG,31.0,5,0
202,99,1.0172,bicycle,bicycle,1111_cc_hum_0_bicycle_40_n02835271_276.JPEG,31.0,5,0
