subj,trial,rt,object_response,category,imagename,age,block,difficulty
swag_regnety_128gf_in1k,1,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_1071.JPEG,,,0
swag_regnety_128gf_in1k,2,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_19152.JPEG,,,0
swag_regnety_128gf_in1k,3,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_2024.JPEG,,,0
swag_regnety_128gf_in1k,4,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_2070.JPEG,,,0
swag_regnety_128gf_in1k,5,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_3874.JPEG,,,0
swag_regnety_128gf_in1k,6,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_4243.JPEG,,,0
swag_regnety_128gf_in1k,7,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_4728.JPEG,,,0
swag_regnety_128gf_in1k,8,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_6853.JPEG,,,0
swag_regnety_128gf_in1k,9,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_6999.JPEG,,,0
swag_regnety_128gf_in1k,10,,airplane,airplane,1111_cc_dnn_0_airplane_40_n02690373_8789.JPEG,,,0
swag_regnety_128gf_in1k,11,,bear,bear,1111_cc_dnn_0_bear_40_n02132136_1934.JPEG,,,0
swag_regnety_128gf_in1k,12,,bear,bear,1111_cc_dnn_0_bear_40_n02132136_6787.JPEG,,,0
swag_regnety_128gf_in1k,13,,bear,bear,1111_cc_dnn_0_bear_40_n02133161_2137.JPEG,,,0
swag_regnety_128gf_in1k,14,,bear,bear,1111_cc_dnn_0_bear_40_n02134084_2004.JPEG,,,0
swag_regnety_128gf_in1k,15,,bear,bear,1111_cc_dnn_0_bear_40_n02134084_5027.JPEG,,,0
swag_regnety_128gf_in1k,16,,bear,bear,1111_cc_dnn_0_bear_40_n02134084_6343.JPEG,,,0
swag_regnety_128gf_in1k,17,,bear,bear,1111_cc_dnn_0_bear_40_n02134418_4041.JPEG,,,0
swag_regnety_128gf_in1k,18,,bear,bear,1111_cc_dnn_0_bear_40_n02134418_4886.JPEG,,,0
swag_regnety_128gf_in1k,19,,bear,bear,1111_cc_dnn_0_bear_40_n02134418_4895.JPEG,,,0
swag_regnety_128gf_in1k,20,,bear,bear,1111_cc_dnn_0_bear_40_n02134418_703.JPEG,,,0
swag_regnety_128gf_in1k,21,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n02835271_13131.JPEG,,,0
swag_regnety_128gf_in1k,22,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n02835271_276.JPEG,,,0
swag_regnety_128gf_in1k,23,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_14216.JPEG,,,0
swag_regnety_128gf_in1k,24,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_17337.JPEG,,,0
swag_regnety_128gf_in1k,25,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_3047.JPEG,,,0
swag_regnety_128gf_in1k,26,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_33855.JPEG,,,0
swag_regnety_128gf_in1k,27,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_3467.JPEG,,,0
swag_regnety_128gf_in1k,28,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_3631.JPEG,,,0
swag_regnety_128gf_in1k,29,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_52601.JPEG,,,0
swag_regnety_128gf_in1k,30,,bicycle,bicycle,1111_cc_dnn_0_bicycle_40_n03792782_692.JPEG,,,0
swag_regnety_128gf_in1k,31,,bird,bird,1111_cc_dnn_0_bird_40_n01530575_4260.JPEG,,,0
swag_regnety_128gf_in1k,32,,bird,bird,1111_cc_dnn_0_bird_40_n01532829_22520.JPEG,,,0
swag_regnety_128gf_in1k,33,,bird,bird,1111_cc_dnn_0_bird_40_n01537544_2772.JPEG,,,0
swag_regnety_128gf_in1k,34,,bird,bird,1111_cc_dnn_0_bird_40_n01601694_13334.JPEG,,,0
swag_regnety_128gf_in1k,35,,bird,bird,1111_cc_dnn_0_bird_40_n01843383_8077.JPEG,,,0
swag_regnety_128gf_in1k,36,,bird,bird,1111_cc_dnn_0_bird_40_n02007558_10725.JPEG,,,0
swag_regnety_128gf_in1k,37,,bird,bird,1111_cc_dnn_0_bird_40_n02025239_22501.JPEG,,,0
swag_regnety_128gf_in1k,38,,bird,bird,1111_cc_dnn_0_bird_40_n02033041_6633.JPEG,,,0
swag_regnety_128gf_in1k,39,,bird,bird,1111_cc_dnn_0_bird_40_n02037110_11551.JPEG,,,0
swag_regnety_128gf_in1k,40,,bird,bird,1111_cc_dnn_0_bird_40_n02037110_8732.JPEG,,,0
swag_regnety_128gf_in1k,41,,boat,boat,1111_cc_dnn_0_boat_40_n02951358_15424.JPEG,,,0
swag_regnety_128gf_in1k,42,,boat,boat,1111_cc_dnn_0_boat_40_n02951358_2853.JPEG,,,0
swag_regnety_128gf_in1k,43,,boat,boat,1111_cc_dnn_0_boat_40_n02951358_34441.JPEG,,,0
swag_regnety_128gf_in1k,44,,boat,boat,1111_cc_dnn_0_boat_40_n02951358_4826.JPEG,,,0
swag_regnety_128gf_in1k,45,,boat,boat,1111_cc_dnn_0_boat_40_n02951358_5718.JPEG,,,0
