subj,trial,rt,object_response,category,imagename,age,block,difficulty
44,1,0.7338,airplane,airplane,1111_eid_hum_0_airplane_40_n02690373_6231.png,11.0,1,0
44,2,1.234,bear,bear,1111_eid_hum_0_bear_40_n02134084_19407.png,11.0,1,0
44,3,1.2336,bicycle,bicycle,1111_eid_hum_4_bicycle_40_n03792782_14216.png,11.0,1,4
44,4,0.9837,bicycle,bicycle,1111_eid_hum_0_bicycle_40_n03792782_1030.png,11.0,1,0
44,5,1.217,keyboard,keyboard,1111_eid_hum_0_keyboard_40_n04505470_2570.png,11.0,1,0
44,6,2.017,cat,cat,1111_eid_hum_4_cat_40_n02123045_9341.png,11.0,1,4
44,7,10.8491,car,truck,1111_eid_hum_8_truck_40_n03417042_10300.png,11.0,1,8
44,8,0.6667,car,car,1111_eid_hum_0_car_40_n02814533_82925.png,11.0,1,0
44,9,1.3004,truck,truck,1111_eid_hum_8_truck_40_n03417042_12486.png,11.0,1,8
44,10,17.7313,knife,boat,1111_eid_hum_16_boat_40_n03344393_7433.png,11.0,1,16
44,11,22.5809,boat,keyboard,1111_eid_hum_16_keyboard_40_n03085013_19436.png,11.0,1,16
44,12,3.4663,boat,airplane,1111_eid_hum_16_airplane_40_n02690373_6853.png,11.0,1,16
44,13,20.9148,airplane,bottle,1111_eid_hum_16_bottle_40_n04560804_9813.png,11.0,1,16
44,14,0.7837,bicycle,bicycle,1111_eid_hum_8_bicycle_40_n02835271_15038.png,11.0,1,8
44,15,0.7504,cat,cat,1111_eid_hum_8_cat_40_n02124075_3533.png,11.0,1,8
44,16,0.7668,truck,truck,1111_eid_hum_8_truck_40_n03417042_14000.png,11.0,1,8
44,17,0.6504,airplane,airplane,1111_eid_hum_16_airplane_40_n02690373_1161.png,11.0,1,16
44,18,14.7488,oven,knife,1111_eid_hum_4_knife_40_n03041632_48071.png,11.0,1,4
44,19,2.1334,cat,bird,1111_eid_hum_4_bird_40_n01537544_2772.png,11.0,1,4
44,20,11.8824,bear,oven,1111_eid_hum_4_oven_40_n04111531_1054.png,11.0,1,4
44,21,1.4005,bottle,bottle,1111_eid_hum_0_bottle_40_n04591713_6238.png,11.0,2,0
44,22,1.1004,bird,bird,1111_eid_hum_0_bird_40_n01818515_7890.png,11.0,2,0
44,23,2.4499,bottle,bottle,1111_eid_hum_4_bottle_40_n04560804_15228.png,11.0,2,4
44,24,2.9668,keyboard,keyboard,1111_eid_hum_8_keyboard_40_n03085013_4160.png,11.0,2,8
44,25,0.6838,cat,cat,1111_eid_hum_0_cat_40_n02123159_3226.png,11.0,2,0
44,26,2.7669,truck,truck,1111_eid_hum_8_truck_40_n03796401_4495.png,11.0,2,8
44,27,4.05,boat,boat,1111_eid_hum_16_boat_40_n04273569_1141.png,11.0,2,16
44,28,1.2169,bicycle,bicycle,1111_eid_hum_16_bicycle_40_n03792782_692.png,11.0,2,16
44,29,0.8005,elephant,elephant,1111_eid_hum_4_elephant_40_n02504013_8385.png,11.0,2,4
44,30,0.8507,cat,cat,1111_eid_hum_0_cat_40_n02123045_964.png,11.0,2,0
44,31,20.8483,keyboard,bottle,1111_eid_hum_16_bottle_40_n03983396_4843.png,11.0,2,16
44,32,1.1168,cat,cat,1111_eid_hum_16_cat_40_n02124075_20957.png,11.0,2,16
44,33,9.2831,bear,knife,1111_eid_hum_8_knife_40_n03041632_47743.png,11.0,2,8
44,34,5.4164,car,clock,1111_eid_hum_16_clock_40_n03196217_585.png,11.0,2,16
44,35,1.5002,boat,boat,1111_eid_hum_0_boat_40_n04612504_8942.png,11.0,2,0
44,36,10.0657,elephant,truck,1111_eid_hum_8_truck_40_n03417042_1656.png,11.0,2,8
44,37,1.1169,bear,bear,1111_eid_hum_8_bear_40_n02134084_34728.png,11.0,2,8
44,38,2.6006,boat,boat,1111_eid_hum_4_boat_40_n02951358_31835.png,11.0,2,4
44,39,3.7498,chair,knife,1111_eid_hum_4_knife_40_n03041632_11475.png,11.0,2,4
44,40,1.8335,chair,chair,1111_eid_hum_4_chair_40_n04429376_9212.png,11.0,2,4
44,41,0.6173,car,car,1111_eid_hum_4_car_40_n02814533_18458.png,11.0,3,4
44,42,1.0339,boat,boat,1111_eid_hum_4_boat_40_n02951358_32429.png,11.0,3,4
44,43,0.6341,chair,chair,1111_eid_hum_0_chair_40_n03376595_4469.png,11.0,3,0
44,44,0.7006,bicycle,bicycle,1111_eid_hum_8_bicycle_40_n02835271_8081.png,11.0,3,8
44,45,0.5338,elephant,elephant,1111_eid_hum_8_elephant_40_n02504458_3953.png,11.0,3,8
44,46,0.8839,car,car,1111_eid_hum_16_car_40_n04285008_88.png,11.0,3,16
44,47,37.4126,truck,clock,1111_eid_hum_0_clock_40_n04548280_7490.png,11.0,3,0
44,48,1.5838,dog,dog,1111_eid_hum_4_dog_40_n02098105_1796.png,11.0,3,4
44,49,1.4002,boat,airplane,1111_eid_hum_8_airplane_40_n02690373_5870.png,11.0,3,8
44,50,3.0501,oven,knife,1111_eid_hum_0_knife_40_n03041632_24277.png,11.0,3,0
44,51,1.6505,bear,bear,1111_eid_hum_16_bear_40_n02134418_4886.png,11.0,3,16
44,52,0.7671,elephant,elephant,1111_eid_hum_16_elephant_40_n02504458_3140.png,11.0,3,16
44,53,10.1325,bicycle,oven,1111_eid_hum_4_oven_40_n04111531_2930.png,11.0,3,4
44,54,3.7666,cat,oven,1111_eid_hum_8_oven_40_n04111531_18592.png,11.0,3,8
44,55,6.7329,bear,elephant,1111_eid_hum_16_elephant_40_n02504013_3141.png,11.0,3,16
44,56,6.8329999999999975,bird,chair,1111_eid_hum_16_chair_40_n04099969_13056.png,11.0,3,16
44,57,0.6006,bird,bird,1111_eid_hum_8_bird_40_n02033041_6633.png,11.0,3,8
44,58,0.6005,airplane,airplane,1111_eid_hum_0_airplane_40_n02690373_1277.png,11.0,3,0
44,59,0.9172,dog,dog,1111_eid_hum_0_dog_40_n02099712_5781.png,11.0,3,0
44,60,0.7342,bear,bear,1111_eid_hum_4_bear_40_n02134418_703.png,11.0,3,4
44,61,1.4669999999999999,car,oven,1111_eid_hum_4_oven_40_n04111531_11530.png,11.0,4,4
44,62,0.7336,clock,clock,1111_eid_hum_4_clock_40_n02708093_3459.png,11.0,4,4
44,63,2.1171,bird,bird,1111_eid_hum_4_bird_40_n01531178_8282.png,11.0,4,4
44,64,0.6501,elephant,elephant,1111_eid_hum_0_elephant_40_n02504458_1735.png,11.0,4,0
44,65,1.2006,car,car,1111_eid_hum_16_car_40_n02814533_89061.png,11.0,4,16
44,66,0.7668,dog,dog,1111_eid_hum_8_dog_40_n02108000_324.png,11.0,4,8
44,67,8.1157,chair,clock,1111_eid_hum_0_clock_40_n03196217_4004.png,11.0,4,0
44,68,0.584,bear,bear,1111_eid_hum_0_bear_40_n02133161_1498.png,11.0,4,0
44,69,14.8825,keyboard,oven,1111_eid_hum_8_oven_40_n04111531_18645.png,11.0,4,8
44,70,0.5337,dog,dog,1111_eid_hum_0_dog_40_n02090721_1456.png,11.0,4,0
44,71,1.3334,dog,dog,1111_eid_hum_16_dog_40_n02110806_16707.png,11.0,4,16
44,72,1.1173,car,car,1111_eid_hum_8_car_40_n03100240_418.png,11.0,4,8
44,73,2.0667,dog,keyboard,1111_eid_hum_8_keyboard_40_n04505470_1833.png,11.0,4,8
