subj,trial,rt,object_response,category,imagename,age,block,difficulty
200,1,0.9502,airplane,airplane,1111_eid_hum_4_airplane_40_n02690373_4728.png,27.0,8,4
200,2,0.9336,oven,oven,1111_eid_hum_0_oven_40_n04111531_10306.png,27.0,8,0
200,3,1.8169,bear,bear,1111_eid_hum_4_bear_40_n02134418_4041.png,27.0,8,4
200,4,16.3469,bear,truck,1111_eid_hum_16_truck_40_n03417042_16389.png,27.0,8,16
200,5,0.4838,bicycle,bicycle,1111_eid_hum_8_bicycle_40_n03792782_3467.png,27.0,8,8
200,6,0.9674,dog,dog,1111_eid_hum_8_dog_40_n02088632_2814.png,27.0,8,8
200,7,0.4501,bicycle,bicycle,1111_eid_hum_0_bicycle_40_n03792782_47774.png,27.0,8,0
200,8,0.7002,bear,bear,1111_eid_hum_16_bear_40_n02134084_5027.png,27.0,8,16
200,9,6.0157,cat,car,1111_eid_hum_16_car_40_n04285008_9470.png,27.0,8,16
200,10,0.5002,bird,bird,1111_eid_hum_8_bird_40_n02009229_5962.png,27.0,8,8
200,11,5.8493,keyboard,keyboard,1111_eid_hum_16_keyboard_40_n03085013_25181.png,27.0,8,16
200,12,0.8838,bird,bird,1111_eid_hum_0_bird_40_n02037110_8732.png,27.0,8,0
200,13,17.8636,oven,oven,1111_eid_hum_4_oven_40_n04111531_15649.png,27.0,8,4
200,14,0.6335,car,car,1111_eid_hum_8_car_40_n04285008_3280.png,27.0,8,8
200,15,2.0332,boat,boat,1111_eid_hum_8_boat_40_n02951358_34051.png,27.0,8,8
200,16,13.7981,keyboard,truck,1111_eid_hum_16_truck_40_n03417042_19905.png,27.0,8,16
200,17,0.6003,bicycle,bicycle,1111_eid_hum_0_bicycle_40_n02835271_13131.png,27.0,8,0
200,18,8.5324,oven,chair,1111_eid_hum_4_chair_40_n04429376_19101.png,27.0,8,4
200,19,2.5672,bottle,bottle,1111_eid_hum_0_bottle_40_n03937543_2357.png,27.0,8,0
200,20,0.5334,keyboard,keyboard,1111_eid_hum_4_keyboard_40_n03085013_24455.png,27.0,8,4
200,21,0.5335,truck,truck,1111_eid_hum_0_truck_40_n04467665_11776.png,27.0,5,0
200,22,0.4172,clock,clock,1111_eid_hum_0_clock_40_n03196217_4417.png,27.0,5,0
200,23,2.5831,clock,clock,1111_eid_hum_0_clock_40_n03196217_3943.png,27.0,5,0
200,24,0.4173,airplane,airplane,1111_eid_hum_4_airplane_40_n02690373_6999.png,27.0,5,4
200,25,6.4492,cat,cat,1111_eid_hum_16_cat_40_n02123394_2690.png,27.0,5,16
200,26,0.7335,boat,boat,1111_eid_hum_4_boat_40_n02951358_8194.png,27.0,5,4
200,27,4.4665,cat,cat,1111_eid_hum_16_cat_40_n02123597_5017.png,27.0,5,16
200,28,2.2,bird,bird,1111_eid_hum_8_bird_40_n01843383_8077.png,27.0,5,8
