subj,trial,rt,object_response,category,imagename,age,block,difficulty
ResNeXt101_32x16d_swsl,1,,airplane,airplane,1111_eid_dnn_0_airplane_40_n02690373_1277.png,,,0
ResNeXt101_32x16d_swsl,2,,airplane,airplane,1111_eid_dnn_0_airplane_40_n02690373_14117.png,,,0
ResNeXt101_32x16d_swsl,3,,airplane,airplane,1111_eid_dnn_0_airplane_40_n02690373_19152.png,,,0
ResNeXt101_32x16d_swsl,4,,airplane,airplane,1111_eid_dnn_0_airplane_40_n02690373_4243.png,,,0
ResNeXt101_32x16d_swsl,5,,airplane,airplane,1111_eid_dnn_0_airplane_40_n02690373_6231.png,,,0
ResNeXt101_32x16d_swsl,6,,bear,bear,1111_eid_dnn_0_bear_40_n02132136_11149.png,,,0
ResNeXt101_32x16d_swsl,7,,bear,bear,1111_eid_dnn_0_bear_40_n02132136_5184.png,,,0
ResNeXt101_32x16d_swsl,8,,bear,bear,1111_eid_dnn_0_bear_40_n02132136_6787.png,,,0
ResNeXt101_32x16d_swsl,9,,bear,bear,1111_eid_dnn_0_bear_40_n02133161_1498.png,,,0
ResNeXt101_32x16d_swsl,10,,bear,bear,1111_eid_dnn_0_bear_40_n02134084_19407.png,,,0
ResNeXt101_32x16d_swsl,11,,bicycle,bicycle,1111_eid_dnn_0_bicycle_40_n02835271_1299.png,,,0
ResNeXt101_32x16d_swsl,12,,bicycle,bicycle,1111_eid_dnn_0_bicycle_40_n02835271_13131.png,,,0
ResNeXt101_32x16d_swsl,13,,bicycle,bicycle,1111_eid_dnn_0_bicycle_40_n03792782_1030.png,,,0
ResNeXt101_32x16d_swsl,14,,bicycle,bicycle,1111_eid_dnn_0_bicycle_40_n03792782_23560.png,,,0
ResNeXt101_32x16d_swsl,15,,bicycle,bicycle,1111_eid_dnn_0_bicycle_40_n03792782_47774.png,,,0
ResNeXt101_32x16d_swsl,16,,bird,bird,1111_eid_dnn_0_bird_40_n01530575_4260.png,,,0
