Unnamed: 0,subj1,subj2,expected-consistency,observed-consistency,cohens-kappa,condition
0,age2-,age1-,0.6512,0.76,0.3119266055045872,4-6 vs. 7-9
1,age2-,age1-,0.635,0.7,0.17808219178082174,4-6 vs. 7-9
2,age2-,age4-,0.8528,0.92,0.456521739130435,7-9 vs. 13-15
3,age2-,age4-,0.8528,0.92,0.456521739130435,7-9 vs. 13-15
4,age2-,age4-,0.92,0.92,0.0,7-9 vs. 13-15
5,age2-,age2-,0.7520000000000001,0.8,0.193548387096774,7-9 vs. 7-9
6,age2-,age2-,0.6848,0.8,0.3654822335025383,7-9 vs. 7-9
7,age2-,age1-,0.7184,0.84,0.4318181818181817,4-6 vs. 7-9
8,age2-,age2-,0.7184,0.76,0.14772727272727265,7-9 vs. 7-9
9,age2-,age2-,0.8528,0.92,0.456521739130435,7-9 vs. 7-9
10,age2-,age3-,0.8528,0.92,0.456521739130435,7-9 vs. 10-12
11,age2-,age3-,0.7520000000000001,0.88,0.5161290322580643,7-9 vs. 10-12
12,age2-,age1-,0.3824,0.44,0.09326424870466328,4-6 vs. 7-9
13,age2-,age4-,0.8191999999999999,0.8,-0.10619469026548604,7-9 vs. 13-15
14,age2-,age4-,0.95,0.95,0.0,7-9 vs. 13-15
15,age2-,age4-,0.8864,0.96,0.6478873239436618,7-9 vs. 13-15
16,age2-,age3-,0.8528,1.0,1.0,7-9 vs. 10-12
17,age2-,age3-,0.8528,0.92,0.456521739130435,7-9 vs. 10-12
18,age2-,age3-,0.905,0.9,-0.05263157894736848,7-9 vs. 10-12
19,age2-,age3-,0.8191999999999999,0.88,0.3362831858407083,7-9 vs. 10-12
20,age2-,age3-,0.8150000000000001,0.9,0.4594594594594594,7-9 vs. 10-12
21,age2-,age2-,0.8864,0.96,0.6478873239436618,7-9 vs. 7-9
22,age2-,age5-,0.92,0.92,0.0,7-9 vs. Adults
23,age2-,age5-,0.8528,0.92,0.456521739130435,7-9 vs. Adults
24,age2-,age5-,0.8191999999999999,0.88,0.3362831858407083,7-9 vs. Adults
57,age2-,vgg19-,0.92,0.92,0.0,7-9 vs. DNNs
58,age2-,BiTM_resnetv2_152x2-,0.92,0.92,0.0,7-9 vs. DNNs
65,age2-,ResNeXt101_32x16d_swsl-,0.92,0.92,0.0,7-9 vs. DNNs
70,age2-,resnext101_32x8d-,0.92,0.92,0.0,7-9 vs. DNNs
73,age2-,swag_regnety_128gf_in1k-,0.92,0.92,0.0,7-9 vs. DNNs
78,age1-,age1-,0.5750000000000001,0.7,0.2941176470588233,4-6 vs. 4-6
79,age1-,age4-,0.7012244897959184,0.7714285714285715,0.2349726775956283,4-6 vs. 13-15
80,age1-,age4-,0.6512,0.76,0.3119266055045872,4-6 vs. 13-15
81,age1-,age4-,0.7333333333333333,0.7333333333333333,0.0,4-6 vs. 13-15
82,age1-,age2-,0.6740495867768596,0.7454545454545455,0.21906693711967545,4-6 vs. 7-9
83,age1-,age2-,0.6472727272727273,0.7636363636363637,0.32989690721649484,4-6 vs. 7-9
84,age1-,age1-,0.625,0.8,0.4666666666666668,4-6 vs. 4-6
85,age1-,age2-,0.6728,0.72,0.14425427872860638,4-6 vs. 7-9
86,age1-,age2-,0.7097520661157025,0.7818181818181819,0.2482915717539864,4-6 vs. 7-9
87,age1-,age3-,0.7207999999999999,0.78,0.21203438395415514,4-6 vs. 10-12
88,age1-,age3-,0.7008264462809917,0.8,0.33149171270718264,4-6 vs. 10-12
89,age1-,age1-,0.43333333333333335,0.5666666666666667,0.2352941176470588,4-6 vs. 4-6
90,age1-,age4-,0.7097520661157025,0.7454545454545455,0.12300683371298406,4-6 vs. 13-15
91,age1-,age4-,0.75,0.75,0.0,4-6 vs. 13-15
92,age1-,age4-,0.7287999999999999,0.78,0.1887905604719768,4-6 vs. 13-15
93,age1-,age4-,0.6873469387755102,0.8,0.360313315926893,4-6 vs. 13-15
94,age1-,age3-,0.7101234567901235,0.7555555555555555,0.15672913117546844,4-6 vs. 10-12
95,age1-,age3-,0.7249999999999999,0.8,0.2727272727272733,4-6 vs. 10-12
96,age1-,age1-,0.64,0.8,0.4444444444444445,4-6 vs. 4-6
97,age1-,age1-,0.5499999999999999,0.75,0.4444444444444445,4-6 vs. 4-6
98,age1-,age3-,0.7249999999999999,0.7,-0.09090909090909054,4-6 vs. 10-12
99,age1-,age3-,0.6875,0.775,0.2800000000000001,4-6 vs. 10-12
100,age1-,age3-,0.6749999999999999,0.8,0.3846153846153849,4-6 vs. 10-12
101,age1-,age3-,0.625,0.7,0.19999999999999987,4-6 vs. 10-12
102,age1-,age3-,0.7022222222222222,0.8,0.3283582089552241,4-6 vs. 10-12
103,age1-,age2-,0.7186776859504131,0.7272727272727273,0.03055229142185697,4-6 vs. 7-9
