subj,trial,rt,object_response,category,imagename,age,block,difficulty
43,1,1.6668,clock,clock,1111_snp_hum_0.1_clock_40_n03196217_8614.png,12.0,1,0.1
43,2,2.35,clock,clock,1111_snp_hum_0.0_clock_40_n03196217_585.png,12.0,1,0.0
43,3,1.4005,bicycle,bicycle,1111_snp_hum_0.0_bicycle_40_n03792782_14216.png,12.0,1,0.0
43,4,10.6329,keyboard,bottle,1111_snp_hum_0.2_bottle_40_n03937543_3759.png,12.0,1,0.2
43,5,2.5833,bird,bottle,1111_snp_hum_0.35_bottle_40_n04591713_5754.png,12.0,1,0.35
43,6,1.1836,bear,bear,1111_snp_hum_0.35_bear_40_n02132136_3169.png,12.0,1,0.35
43,7,2.5999,boat,knife,1111_snp_hum_0.2_knife_40_n03041632_32785.png,12.0,1,0.2
43,8,2.6334,elephant,bear,1111_snp_hum_0.2_bear_40_n02132136_5184.png,12.0,1,0.2
43,9,1.1340000000000001,oven,oven,1111_snp_hum_0.0_oven_40_n04111531_13247.png,12.0,1,0.0
43,10,1.5505,truck,truck,1111_snp_hum_0.2_truck_40_n03796401_4309.png,12.0,1,0.2
43,11,5.8329,bear,cat,1111_snp_hum_0.2_cat_40_n02123045_9341.png,12.0,1,0.2
43,12,4.6667,clock,chair,1111_snp_hum_0.35_chair_40_n04099969_2267.png,12.0,1,0.35
43,13,14.7816,cat,dog,1111_snp_hum_0.35_dog_40_n02088632_2814.png,12.0,1,0.35
43,14,15.182,bicycle,knife,1111_snp_hum_0.1_knife_40_n03041632_105081.png,12.0,1,0.1
43,15,2.6501,bear,bird,1111_snp_hum_0.35_bird_40_n01860187_6891.png,12.0,1,0.35
43,16,1.8335,knife,knife,1111_snp_hum_0.0_knife_40_n03041632_24114.png,12.0,1,0.0
43,17,1.2503,airplane,airplane,1111_snp_hum_0.1_airplane_40_n02690373_3874.png,12.0,1,0.1
43,18,1.2338,truck,clock,1111_snp_hum_0.1_clock_40_n03196217_5478.png,12.0,1,0.1
43,19,1.0002,truck,truck,1111_snp_hum_0.1_truck_40_n03417042_1656.png,12.0,1,0.1
43,20,1.7002,chair,chair,1111_snp_hum_0.0_chair_40_n04429376_10128.png,12.0,1,0.0
43,21,1.3005,car,car,1111_snp_hum_0.0_car_40_n03100240_24331.png,12.0,2,0.0
43,22,1.1336,dog,dog,1111_snp_hum_0.0_dog_40_n02105056_9209.png,12.0,2,0.0
43,23,1.1001,elephant,elephant,1111_snp_hum_0.1_elephant_40_n02504458_4954.png,12.0,2,0.1
43,24,1.0006,car,car,1111_snp_hum_0.2_car_40_n04285008_9470.png,12.0,2,0.2
43,25,2.6498,boat,boat,1111_snp_hum_0.2_boat_40_n03344393_7433.png,12.0,2,0.2
43,26,6.9661,chair,dog,1111_snp_hum_0.1_dog_40_n02106382_14862.png,12.0,2,0.1
43,27,2.2335,bird,bird,1111_snp_hum_0.0_bird_40_n01537544_15048.png,12.0,2,0.0
43,28,0.8504,elephant,elephant,1111_snp_hum_0.2_elephant_40_n02504458_1998.png,12.0,2,0.2
43,29,7.0495,clock,airplane,1111_snp_hum_0.35_airplane_40_n02690373_1071.png,12.0,2,0.35
43,30,1.3339,bicycle,bicycle,1111_snp_hum_0.35_bicycle_40_n02835271_15038.png,12.0,2,0.35
43,31,10.6655,bottle,boat,1111_snp_hum_0.35_boat_40_n02951358_34051.png,12.0,2,0.35
43,32,5.65,airplane,boat,1111_snp_hum_0.2_boat_40_n02951358_19768.png,12.0,2,0.2
43,33,2.9833,elephant,bicycle,1111_snp_hum_0.35_bicycle_40_n03792782_17337.png,12.0,2,0.35
43,34,0.8169,elephant,elephant,1111_snp_hum_0.2_elephant_40_n02504458_1735.png,12.0,2,0.2
