subj,trial,rt,object_response,category,imagename,age,block,difficulty
201,1,0.3503,car,car,1111_snp_hum_0.1_car_40_n04285008_7096.png,23.0,6,0.1
201,2,1.734,oven,oven,1111_snp_hum_0.0_oven_40_n04111531_23215.png,23.0,6,0.0
201,3,0.9669,oven,oven,1111_snp_hum_0.0_oven_40_n04111531_21973.png,23.0,6,0.0
201,4,0.6672,bird,bird,1111_snp_hum_0.2_bird_40_n01532829_22520.png,23.0,6,0.2
201,5,5.4497,bird,dog,1111_snp_hum_0.2_dog_40_n02090721_1456.png,23.0,6,0.2
201,6,0.6171,keyboard,keyboard,1111_snp_hum_0.1_keyboard_40_n04505470_933.png,23.0,6,0.1
201,7,1.734,elephant,elephant,1111_snp_hum_0.35_elephant_40_n02504458_4.png,23.0,6,0.35
201,8,0.5171,elephant,elephant,1111_snp_hum_0.1_elephant_40_n02504013_1916.png,23.0,6,0.1
201,9,10.1822,bottle,bear,1111_snp_hum_0.35_bear_40_n02133161_10314.png,23.0,6,0.35
201,10,0.3337,airplane,airplane,1111_snp_hum_0.2_airplane_40_n02690373_3912.png,23.0,6,0.2
201,11,0.4503,keyboard,keyboard,1111_snp_hum_0.2_keyboard_40_n04505470_6272.png,23.0,6,0.2
201,12,1.2336,oven,cat,1111_snp_hum_0.35_cat_40_n02124075_8351.png,23.0,6,0.35
201,13,0.5004,bird,bird,1111_snp_hum_0.0_bird_40_n01530575_4260.png,23.0,6,0.0
201,14,0.4837,airplane,airplane,1111_snp_hum_0.2_airplane_40_n02690373_4243.png,23.0,6,0.2
201,15,6.766,truck,chair,1111_snp_hum_0.0_chair_40_n04429376_42324.png,23.0,6,0.0
201,16,2.9833,bear,bear,1111_snp_hum_0.35_bear_40_n02134084_10224.png,23.0,6,0.35
201,17,0.4353,car,car,1111_snp_hum_0.35_car_40_n02814533_18458.png,23.0,6,0.35
201,18,0.7171,boat,boat,1111_snp_hum_0.0_boat_40_n02951358_15424.png,23.0,6,0.0
201,19,0.9349,chair,chair,1111_snp_hum_0.1_chair_40_n04099969_2398.png,23.0,6,0.1
201,20,5.0829,dog,dog,1111_snp_hum_0.1_dog_40_n02102318_11816.png,23.0,6,0.1
201,21,0.7503,boat,boat,1111_snp_hum_0.1_boat_40_n02951358_14612.png,23.0,7,0.1
201,22,1.2508,bottle,bottle,1111_snp_hum_0.0_bottle_40_n04560804_19872.png,23.0,7,0.0
201,23,0.6006,dog,dog,1111_snp_hum_0.0_dog_40_n02100877_20916.png,23.0,7,0.0
201,24,0.517,bicycle,bicycle,1111_snp_hum_0.1_bicycle_40_n03792782_3467.png,23.0,7,0.1
201,25,0.6836,chair,chair,1111_snp_hum_0.2_chair_40_n03376595_4309.png,23.0,7,0.2
201,26,0.7336,clock,clock,1111_snp_hum_0.35_clock_40_n02708093_462.png,23.0,7,0.35
201,27,3.35,bicycle,boat,1111_snp_hum_0.35_boat_40_n02951358_31835.png,23.0,7,0.35
201,28,0.384,car,car,1111_snp_hum_0.2_car_40_n02814533_82925.png,23.0,7,0.2
201,29,0.3172,bear,bear,1111_snp_hum_0.1_bear_40_n02133161_2137.png,23.0,7,0.1
201,30,7.8495,clock,cat,1111_snp_hum_0.2_cat_40_n02123159_6505.png,23.0,7,0.2
201,31,0.6007,airplane,airplane,1111_snp_hum_0.1_airplane_40_n02690373_1277.png,23.0,7,0.1
201,32,1.7,bear,bird,1111_snp_hum_0.35_bird_40_n02025239_22501.png,23.0,7,0.35
201,33,0.5671,truck,truck,1111_snp_hum_0.0_truck_40_n03417042_11.png,23.0,7,0.0
201,34,1.2336,bird,bird,1111_snp_hum_0.35_bird_40_n02033041_6633.png,23.0,7,0.35
201,35,7.1833,cat,knife,1111_snp_hum_0.35_knife_40_n03041632_31909.png,23.0,7,0.35
201,36,1.3503,boat,boat,1111_snp_hum_0.2_boat_40_n04612504_30742.png,23.0,7,0.2
201,37,0.3669,elephant,elephant,1111_snp_hum_0.2_elephant_40_n02504013_6660.png,23.0,7,0.2
201,38,0.8339,truck,truck,1111_snp_hum_0.1_truck_40_n03417042_12486.png,23.0,7,0.1
201,39,0.4005,keyboard,keyboard,1111_snp_hum_0.0_keyboard_40_n03085013_1483.png,23.0,7,0.0
201,40,0.7835,bottle,bottle,1111_snp_hum_0.0_bottle_40_n04591713_2718.png,23.0,7,0.0
201,41,0.5670000000000001,bicycle,bicycle,1111_snp_hum_0.1_bicycle_40_n03792782_33855.png,23.0,8,0.1
201,42,1.4504,truck,truck,1111_snp_hum_0.1_truck_40_n03796401_14381.png,23.0,8,0.1
201,43,0.5004,dog,dog,1111_snp_hum_0.0_dog_40_n02098105_1796.png,23.0,8,0.0
201,44,0.2671,cat,cat,1111_snp_hum_0.1_cat_40_n02124075_3533.png,23.0,8,0.1
201,45,3.6836,oven,clock,1111_snp_hum_0.35_clock_40_n04548280_3997.png,23.0,8,0.35
201,46,0.4337,bicycle,bicycle,1111_snp_hum_0.2_bicycle_40_n02835271_7873.png,23.0,8,0.2
201,47,0.4341,cat,cat,1111_snp_hum_0.35_cat_40_n02123394_2690.png,23.0,8,0.35
201,48,0.3172,elephant,elephant,1111_snp_hum_0.0_elephant_40_n02504458_3140.png,23.0,8,0.0
201,49,11.0323,keyboard,knife,1111_snp_hum_0.0_knife_40_n03041632_4808.png,23.0,8,0.0
201,50,0.8170000000000001,chair,chair,1111_snp_hum_0.2_chair_40_n04099969_18182.png,23.0,8,0.2
201,51,1.1004,bird,bird,1111_snp_hum_0.1_bird_40_n02027492_2004.png,23.0,8,0.1
