subj,trial,rt,object_response,category,imagename,age,block,difficulty
BiTM_resnetv2_152x2,1,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_18693.png,,,0.0
BiTM_resnetv2_152x2,2,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_19152.png,,,0.0
BiTM_resnetv2_152x2,3,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_2435.png,,,0.0
BiTM_resnetv2_152x2,4,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_3993.png,,,0.0
BiTM_resnetv2_152x2,5,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_8789.png,,,0.0
BiTM_resnetv2_152x2,6,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134084_19407.png,,,0.0
BiTM_resnetv2_152x2,7,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134084_5027.png,,,0.0
BiTM_resnetv2_152x2,8,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_4886.png,,,0.0
BiTM_resnetv2_152x2,9,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_703.png,,,0.0
BiTM_resnetv2_152x2,10,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_832.png,,,0.0
BiTM_resnetv2_152x2,11,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_1299.png,,,0.0
BiTM_resnetv2_152x2,12,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_276.png,,,0.0
BiTM_resnetv2_152x2,13,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_8081.png,,,0.0
BiTM_resnetv2_152x2,14,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n03792782_14216.png,,,0.0
BiTM_resnetv2_152x2,15,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n03792782_3047.png,,,0.0
BiTM_resnetv2_152x2,16,,bird,bird,1111_snp_dnn_0.0_bird_10_n01530575_4260.png,,,0.0
BiTM_resnetv2_152x2,17,,bird,bird,1111_snp_dnn_0.0_bird_10_n01530575_6098.png,,,0.0
BiTM_resnetv2_152x2,18,,bird,bird,1111_snp_dnn_0.0_bird_10_n01537544_15048.png,,,0.0
BiTM_resnetv2_152x2,19,,bird,bird,1111_snp_dnn_0.0_bird_10_n02018795_11949.png,,,0.0
BiTM_resnetv2_152x2,20,,bird,bird,1111_snp_dnn_0.0_bird_10_n02037110_11551.png,,,0.0
BiTM_resnetv2_152x2,21,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_12866.png,,,0.0
BiTM_resnetv2_152x2,22,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_15424.png,,,0.0
BiTM_resnetv2_152x2,23,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_32429.png,,,0.0
BiTM_resnetv2_152x2,24,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_5718.png,,,0.0
BiTM_resnetv2_152x2,25,,boat,boat,1111_snp_dnn_0.0_boat_10_n03344393_6758.png,,,0.0
BiTM_resnetv2_152x2,26,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n03937543_2357.png,,,0.0
BiTM_resnetv2_152x2,27,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04560804_13773.png,,,0.0
BiTM_resnetv2_152x2,28,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04560804_19872.png,,,0.0
BiTM_resnetv2_152x2,29,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04591713_2024.png,,,0.0
BiTM_resnetv2_152x2,30,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04591713_2718.png,,,0.0
BiTM_resnetv2_152x2,31,,car,car,1111_snp_dnn_0.0_car_10_n02814533_32461.png,,,0.0
BiTM_resnetv2_152x2,32,,car,car,1111_snp_dnn_0.0_car_10_n03100240_24331.png,,,0.0
BiTM_resnetv2_152x2,33,,car,car,1111_snp_dnn_0.0_car_10_n03100240_418.png,,,0.0
BiTM_resnetv2_152x2,34,,car,car,1111_snp_dnn_0.0_car_10_n04285008_2789.png,,,0.0
BiTM_resnetv2_152x2,35,,car,car,1111_snp_dnn_0.0_car_10_n04285008_88.png,,,0.0
BiTM_resnetv2_152x2,36,,cat,cat,1111_snp_dnn_0.0_cat_10_n02123045_964.png,,,0.0
BiTM_resnetv2_152x2,37,,cat,cat,1111_snp_dnn_0.0_cat_10_n02123159_3330.png,,,0.0
BiTM_resnetv2_152x2,38,,cat,cat,1111_snp_dnn_0.0_cat_10_n02123597_3037.png,,,0.0
BiTM_resnetv2_152x2,39,,cat,cat,1111_snp_dnn_0.0_cat_10_n02123597_5017.png,,,0.0
BiTM_resnetv2_152x2,40,,cat,cat,1111_snp_dnn_0.0_cat_10_n02124075_14094.png,,,0.0
BiTM_resnetv2_152x2,41,,chair,chair,1111_snp_dnn_0.0_chair_10_n02791124_9124.png,,,0.0
BiTM_resnetv2_152x2,42,,chair,chair,1111_snp_dnn_0.0_chair_10_n04099969_20900.png,,,0.0
BiTM_resnetv2_152x2,43,,chair,chair,1111_snp_dnn_0.0_chair_10_n04429376_10128.png,,,0.0
BiTM_resnetv2_152x2,44,,chair,chair,1111_snp_dnn_0.0_chair_10_n04429376_42324.png,,,0.0
BiTM_resnetv2_152x2,45,,chair,chair,1111_snp_dnn_0.0_chair_10_n04429376_9212.png,,,0.0
BiTM_resnetv2_152x2,46,,clock,clock,1111_snp_dnn_0.0_clock_10_n02708093_3459.png,,,0.0
BiTM_resnetv2_152x2,47,,clock,clock,1111_snp_dnn_0.0_clock_10_n03196217_585.png,,,0.0
BiTM_resnetv2_152x2,48,,clock,clock,1111_snp_dnn_0.0_clock_10_n03196217_6809.png,,,0.0
BiTM_resnetv2_152x2,49,,truck,clock,1111_snp_dnn_0.0_clock_10_n04548280_711.png,,,0.0
BiTM_resnetv2_152x2,50,,clock,clock,1111_snp_dnn_0.0_clock_10_n04548280_7490.png,,,0.0
BiTM_resnetv2_152x2,51,,dog,dog,1111_snp_dnn_0.0_dog_10_n02096437_6439.png,,,0.0
BiTM_resnetv2_152x2,52,,dog,dog,1111_snp_dnn_0.0_dog_10_n02098105_1796.png,,,0.0
BiTM_resnetv2_152x2,53,,dog,dog,1111_snp_dnn_0.0_dog_10_n02100877_20916.png,,,0.0
BiTM_resnetv2_152x2,54,,dog,dog,1111_snp_dnn_0.0_dog_10_n02105056_9209.png,,,0.0
BiTM_resnetv2_152x2,55,,dog,dog,1111_snp_dnn_0.0_dog_10_n02112706_2952.png,,,0.0
BiTM_resnetv2_152x2,56,,elephant,elephant,1111_snp_dnn_0.0_elephant_10_n02504013_19694.png,,,0.0
BiTM_resnetv2_152x2,57,,elephant,elephant,1111_snp_dnn_0.0_elephant_10_n02504013_868.png,,,0.0
BiTM_resnetv2_152x2,58,,elephant,elephant,1111_snp_dnn_0.0_elephant_10_n02504458_3140.png,,,0.0
BiTM_resnetv2_152x2,59,,elephant,elephant,1111_snp_dnn_0.0_elephant_10_n02504458_4336.png,,,0.0
BiTM_resnetv2_152x2,60,,elephant,elephant,1111_snp_dnn_0.0_elephant_10_n02504458_7013.png,,,0.0
BiTM_resnetv2_152x2,61,,keyboard,keyboard,1111_snp_dnn_0.0_keyboard_10_n03085013_1483.png,,,0.0
BiTM_resnetv2_152x2,62,,keyboard,keyboard,1111_snp_dnn_0.0_keyboard_10_n03085013_19436.png,,,0.0
BiTM_resnetv2_152x2,63,,keyboard,keyboard,1111_snp_dnn_0.0_keyboard_10_n03085013_24455.png,,,0.0
BiTM_resnetv2_152x2,64,,keyboard,keyboard,1111_snp_dnn_0.0_keyboard_10_n03085013_25181.png,,,0.0
BiTM_resnetv2_152x2,65,,keyboard,keyboard,1111_snp_dnn_0.0_keyboard_10_n03085013_4160.png,,,0.0
BiTM_resnetv2_152x2,66,,knife,knife,1111_snp_dnn_0.0_knife_10_n03041632_11797.png,,,0.0
BiTM_resnetv2_152x2,67,,knife,knife,1111_snp_dnn_0.0_knife_10_n03041632_24114.png,,,0.0
BiTM_resnetv2_152x2,68,,knife,knife,1111_snp_dnn_0.0_knife_10_n03041632_3210.png,,,0.0
BiTM_resnetv2_152x2,69,,knife,knife,1111_snp_dnn_0.0_knife_10_n03041632_47743.png,,,0.0
BiTM_resnetv2_152x2,70,,knife,knife,1111_snp_dnn_0.0_knife_10_n03041632_4808.png,,,0.0
BiTM_resnetv2_152x2,71,,oven,oven,1111_snp_dnn_0.0_oven_10_n04111531_10306.png,,,0.0
BiTM_resnetv2_152x2,72,,oven,oven,1111_snp_dnn_0.0_oven_10_n04111531_13247.png,,,0.0
BiTM_resnetv2_152x2,73,,oven,oven,1111_snp_dnn_0.0_oven_10_n04111531_21973.png,,,0.0
BiTM_resnetv2_152x2,74,,oven,oven,1111_snp_dnn_0.0_oven_10_n04111531_23215.png,,,0.0
BiTM_resnetv2_152x2,75,,oven,oven,1111_snp_dnn_0.0_oven_10_n04111531_2930.png,,,0.0
BiTM_resnetv2_152x2,76,,truck,truck,1111_snp_dnn_0.0_truck_10_n03417042_11.png,,,0.0
BiTM_resnetv2_152x2,77,,truck,truck,1111_snp_dnn_0.0_truck_10_n03417042_19905.png,,,0.0
BiTM_resnetv2_152x2,78,,truck,truck,1111_snp_dnn_0.0_truck_10_n03417042_23440.png,,,0.0
BiTM_resnetv2_152x2,79,,truck,truck,1111_snp_dnn_0.0_truck_10_n03417042_28078.png,,,0.0
BiTM_resnetv2_152x2,80,,truck,truck,1111_snp_dnn_0.0_truck_10_n03796401_4495.png,,,0.0
BiTM_resnetv2_152x2,81,,airplane,airplane,1111_snp_dnn_0.1_airplane_10_n02690373_1161.png,,,0.1
BiTM_resnetv2_152x2,82,,airplane,airplane,1111_snp_dnn_0.1_airplane_10_n02690373_1277.png,,,0.1
BiTM_resnetv2_152x2,83,,airplane,airplane,1111_snp_dnn_0.1_airplane_10_n02690373_1837.png,,,0.1
BiTM_resnetv2_152x2,84,,boat,airplane,1111_snp_dnn_0.1_airplane_10_n02690373_3874.png,,,0.1
BiTM_resnetv2_152x2,85,,boat,airplane,1111_snp_dnn_0.1_airplane_10_n02690373_5870.png,,,0.1
BiTM_resnetv2_152x2,86,,bear,bear,1111_snp_dnn_0.1_bear_10_n02132136_11149.png,,,0.1
BiTM_resnetv2_152x2,87,,bear,bear,1111_snp_dnn_0.1_bear_10_n02133161_2137.png,,,0.1
BiTM_resnetv2_152x2,88,,bear,bear,1111_snp_dnn_0.1_bear_10_n02134084_34728.png,,,0.1
BiTM_resnetv2_152x2,89,,bear,bear,1111_snp_dnn_0.1_bear_10_n02134084_4612.png,,,0.1
BiTM_resnetv2_152x2,90,,bear,bear,1111_snp_dnn_0.1_bear_10_n02134084_6343.png,,,0.1
BiTM_resnetv2_152x2,91,,bicycle,bicycle,1111_snp_dnn_0.1_bicycle_10_n02835271_15925.png,,,0.1
BiTM_resnetv2_152x2,92,,bicycle,bicycle,1111_snp_dnn_0.1_bicycle_10_n03792782_23560.png,,,0.1
BiTM_resnetv2_152x2,93,,bicycle,bicycle,1111_snp_dnn_0.1_bicycle_10_n03792782_33855.png,,,0.1
BiTM_resnetv2_152x2,94,,bicycle,bicycle,1111_snp_dnn_0.1_bicycle_10_n03792782_3467.png,,,0.1
BiTM_resnetv2_152x2,95,,bicycle,bicycle,1111_snp_dnn_0.1_bicycle_10_n03792782_52601.png,,,0.1
BiTM_resnetv2_152x2,96,,bear,bird,1111_snp_dnn_0.1_bird_10_n01601694_13334.png,,,0.1
BiTM_resnetv2_152x2,97,,bird,bird,1111_snp_dnn_0.1_bird_10_n01843383_8077.png,,,0.1
BiTM_resnetv2_152x2,98,,bird,bird,1111_snp_dnn_0.1_bird_10_n02007558_45529.png,,,0.1
BiTM_resnetv2_152x2,99,,bird,bird,1111_snp_dnn_0.1_bird_10_n02009229_5962.png,,,0.1
BiTM_resnetv2_152x2,100,,bird,bird,1111_snp_dnn_0.1_bird_10_n02027492_2004.png,,,0.1
BiTM_resnetv2_152x2,101,,boat,boat,1111_snp_dnn_0.1_boat_10_n02951358_14612.png,,,0.1
BiTM_resnetv2_152x2,102,,boat,boat,1111_snp_dnn_0.1_boat_10_n02951358_2853.png,,,0.1
BiTM_resnetv2_152x2,103,,boat,boat,1111_snp_dnn_0.1_boat_10_n03344393_302.png,,,0.1
BiTM_resnetv2_152x2,104,,boat,boat,1111_snp_dnn_0.1_boat_10_n04273569_1141.png,,,0.1
BiTM_resnetv2_152x2,105,,bird,boat,1111_snp_dnn_0.1_boat_10_n04273569_13091.png,,,0.1
BiTM_resnetv2_152x2,106,,bottle,bottle,1111_snp_dnn_0.1_bottle_10_n03983396_11337.png,,,0.1
BiTM_resnetv2_152x2,107,,bottle,bottle,1111_snp_dnn_0.1_bottle_10_n03983396_4843.png,,,0.1
BiTM_resnetv2_152x2,108,,bottle,bottle,1111_snp_dnn_0.1_bottle_10_n04560804_11601.png,,,0.1
BiTM_resnetv2_152x2,109,,bottle,bottle,1111_snp_dnn_0.1_bottle_10_n04579145_1302.png,,,0.1
BiTM_resnetv2_152x2,110,,bottle,bottle,1111_snp_dnn_0.1_bottle_10_n04591713_6238.png,,,0.1
BiTM_resnetv2_152x2,111,,car,car,1111_snp_dnn_0.1_car_10_n02814533_83068.png,,,0.1
BiTM_resnetv2_152x2,112,,car,car,1111_snp_dnn_0.1_car_10_n02814533_89061.png,,,0.1
BiTM_resnetv2_152x2,113,,car,car,1111_snp_dnn_0.1_car_10_n04285008_10287.png,,,0.1
BiTM_resnetv2_152x2,114,,car,car,1111_snp_dnn_0.1_car_10_n04285008_3280.png,,,0.1
BiTM_resnetv2_152x2,115,,car,car,1111_snp_dnn_0.1_car_10_n04285008_7096.png,,,0.1
BiTM_resnetv2_152x2,116,,cat,cat,1111_snp_dnn_0.1_cat_10_n02123159_2684.png,,,0.1
BiTM_resnetv2_152x2,117,,cat,cat,1111_snp_dnn_0.1_cat_10_n02124075_3533.png,,,0.1
BiTM_resnetv2_152x2,118,,cat,cat,1111_snp_dnn_0.1_cat_10_n02124075_862.png,,,0.1
BiTM_resnetv2_152x2,119,,cat,cat,1111_snp_dnn_0.1_cat_10_n02124075_8754.png,,,0.1
BiTM_resnetv2_152x2,120,,cat,cat,1111_snp_dnn_0.1_cat_10_n02124075_9716.png,,,0.1
BiTM_resnetv2_152x2,121,,chair,chair,1111_snp_dnn_0.1_chair_10_n02791124_141.png,,,0.1
BiTM_resnetv2_152x2,122,,chair,chair,1111_snp_dnn_0.1_chair_10_n02791124_2470.png,,,0.1
BiTM_resnetv2_152x2,123,,chair,chair,1111_snp_dnn_0.1_chair_10_n03376595_820.png,,,0.1
BiTM_resnetv2_152x2,124,,chair,chair,1111_snp_dnn_0.1_chair_10_n04099969_13056.png,,,0.1
BiTM_resnetv2_152x2,125,,chair,chair,1111_snp_dnn_0.1_chair_10_n04099969_2398.png,,,0.1
BiTM_resnetv2_152x2,126,,clock,clock,1111_snp_dnn_0.1_clock_10_n02708093_1431.png,,,0.1
BiTM_resnetv2_152x2,127,,clock,clock,1111_snp_dnn_0.1_clock_10_n02708093_2843.png,,,0.1
BiTM_resnetv2_152x2,128,,clock,clock,1111_snp_dnn_0.1_clock_10_n03196217_3943.png,,,0.1
BiTM_resnetv2_152x2,129,,clock,clock,1111_snp_dnn_0.1_clock_10_n03196217_5478.png,,,0.1
BiTM_resnetv2_152x2,130,,clock,clock,1111_snp_dnn_0.1_clock_10_n03196217_8614.png,,,0.1
BiTM_resnetv2_152x2,131,,dog,dog,1111_snp_dnn_0.1_dog_10_n02101556_7442.png,,,0.1
BiTM_resnetv2_152x2,132,,dog,dog,1111_snp_dnn_0.1_dog_10_n02102318_11816.png,,,0.1
BiTM_resnetv2_152x2,133,,dog,dog,1111_snp_dnn_0.1_dog_10_n02106382_14862.png,,,0.1
BiTM_resnetv2_152x2,134,,dog,dog,1111_snp_dnn_0.1_dog_10_n02108000_324.png,,,0.1
BiTM_resnetv2_152x2,135,,dog,dog,1111_snp_dnn_0.1_dog_10_n02113624_1203.png,,,0.1
BiTM_resnetv2_152x2,136,,elephant,elephant,1111_snp_dnn_0.1_elephant_10_n02504013_1916.png,,,0.1
BiTM_resnetv2_152x2,137,,keyboard,elephant,1111_snp_dnn_0.1_elephant_10_n02504013_3141.png,,,0.1
BiTM_resnetv2_152x2,138,,elephant,elephant,1111_snp_dnn_0.1_elephant_10_n02504458_3953.png,,,0.1
