subj,trial,rt,object_response,category,imagename,age,block,difficulty
ResNeXt101_32x16d_swsl,1,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_18693.png,,,0.0
ResNeXt101_32x16d_swsl,2,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_19152.png,,,0.0
ResNeXt101_32x16d_swsl,3,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_2435.png,,,0.0
ResNeXt101_32x16d_swsl,4,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_3993.png,,,0.0
ResNeXt101_32x16d_swsl,5,,airplane,airplane,1111_snp_dnn_0.0_airplane_10_n02690373_8789.png,,,0.0
ResNeXt101_32x16d_swsl,6,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134084_19407.png,,,0.0
ResNeXt101_32x16d_swsl,7,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134084_5027.png,,,0.0
ResNeXt101_32x16d_swsl,8,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_4886.png,,,0.0
ResNeXt101_32x16d_swsl,9,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_703.png,,,0.0
ResNeXt101_32x16d_swsl,10,,bear,bear,1111_snp_dnn_0.0_bear_10_n02134418_832.png,,,0.0
ResNeXt101_32x16d_swsl,11,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_1299.png,,,0.0
ResNeXt101_32x16d_swsl,12,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_276.png,,,0.0
ResNeXt101_32x16d_swsl,13,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n02835271_8081.png,,,0.0
ResNeXt101_32x16d_swsl,14,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n03792782_14216.png,,,0.0
ResNeXt101_32x16d_swsl,15,,bicycle,bicycle,1111_snp_dnn_0.0_bicycle_10_n03792782_3047.png,,,0.0
ResNeXt101_32x16d_swsl,16,,bird,bird,1111_snp_dnn_0.0_bird_10_n01530575_4260.png,,,0.0
ResNeXt101_32x16d_swsl,17,,bird,bird,1111_snp_dnn_0.0_bird_10_n01530575_6098.png,,,0.0
ResNeXt101_32x16d_swsl,18,,bird,bird,1111_snp_dnn_0.0_bird_10_n01537544_15048.png,,,0.0
ResNeXt101_32x16d_swsl,19,,bird,bird,1111_snp_dnn_0.0_bird_10_n02018795_11949.png,,,0.0
ResNeXt101_32x16d_swsl,20,,bird,bird,1111_snp_dnn_0.0_bird_10_n02037110_11551.png,,,0.0
ResNeXt101_32x16d_swsl,21,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_12866.png,,,0.0
ResNeXt101_32x16d_swsl,22,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_15424.png,,,0.0
ResNeXt101_32x16d_swsl,23,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_32429.png,,,0.0
ResNeXt101_32x16d_swsl,24,,boat,boat,1111_snp_dnn_0.0_boat_10_n02951358_5718.png,,,0.0
ResNeXt101_32x16d_swsl,25,,boat,boat,1111_snp_dnn_0.0_boat_10_n03344393_6758.png,,,0.0
ResNeXt101_32x16d_swsl,26,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n03937543_2357.png,,,0.0
ResNeXt101_32x16d_swsl,27,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04560804_13773.png,,,0.0
ResNeXt101_32x16d_swsl,28,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04560804_19872.png,,,0.0
ResNeXt101_32x16d_swsl,29,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04591713_2024.png,,,0.0
ResNeXt101_32x16d_swsl,30,,bottle,bottle,1111_snp_dnn_0.0_bottle_10_n04591713_2718.png,,,0.0
ResNeXt101_32x16d_swsl,31,,car,car,1111_snp_dnn_0.0_car_10_n02814533_32461.png,,,0.0
ResNeXt101_32x16d_swsl,32,,car,car,1111_snp_dnn_0.0_car_10_n03100240_24331.png,,,0.0
ResNeXt101_32x16d_swsl,33,,car,car,1111_snp_dnn_0.0_car_10_n03100240_418.png,,,0.0
ResNeXt101_32x16d_swsl,34,,car,car,1111_snp_dnn_0.0_car_10_n04285008_2789.png,,,0.0
ResNeXt101_32x16d_swsl,35,,car,car,1111_snp_dnn_0.0_car_10_n04285008_88.png,,,0.0
